Date,Adj Close,Open,High,Low,Close,Volume
2010-01-04,23.68,30.62,31.1,30.59,30.95,38409100
2010-01-05,23.69,30.85,31.1,30.64,30.96,49749600
2010-01-06,23.55,30.88,31.08,30.52,30.77,58182400
2010-01-07,23.3,30.63,30.7,30.19,30.45,50559700
2010-01-08,23.46,30.28,30.88,30.24,30.66,51197400
2010-01-11,23.16,30.71,30.76,30.12,30.27,68754700
2010-01-12,23.01,30.15,30.4,29.91,30.07,65912100
2010-01-13,23.22,30.26,30.52,30.01,30.35,51863500
2010-01-14,23.69,30.31,31.1,30.26,30.96,63228100
2010-01-15,23.61,31.08,31.24,30.71,30.86,79913200
2010-01-19,23.8,30.75,31.24,30.68,31.1,46575700
2010-01-20,23.41,30.81,30.94,30.31,30.59,54849500
2010-01-21,22.96,30.61,30.72,30.0,30.01,73086700
2010-01-22,22.16,30.0,30.2,28.84,28.96,102004600
2010-01-25,22.44,29.24,29.66,29.1,29.32,63373000
2010-01-26,22.57,29.2,29.85,29.09,29.5,66639900
2010-01-27,22.7,29.35,29.82,29.02,29.67,63949500
2010-01-28,22.31,29.84,29.87,28.89,29.16,117513700
2010-01-29,21.56,29.9,29.92,27.66,28.18,193888500
2010-02-01,21.74,28.39,28.48,27.92,28.41,85931100
2010-02-02,21.78,28.37,28.5,28.14,28.46,54413700
2010-02-03,21.91,28.26,28.79,28.12,28.63,61397900
2010-02-04,21.3,28.38,28.5,27.81,27.84,77850000
2010-02-05,21.44,28.0,28.28,27.57,28.02,80960100
2010-02-08,21.21,28.01,28.08,27.57,27.72,52820600
2010-02-09,21.43,27.97,28.34,27.75,28.01,59195800
2010-02-10,21.42,28.03,28.24,27.84,27.99,48591300
2010-02-11,21.52,27.93,28.4,27.7,28.12,65993700
2010-02-12,21.37,27.81,28.06,27.58,27.93,81117200
2010-02-16,21.79,28.13,28.37,28.02,28.35,51935600
2010-02-17,21.98,28.53,28.65,28.36,28.59,45882900
2010-02-18,22.27,28.59,29.03,28.51,28.97,42856500
2010-02-19,22.12,28.79,28.92,28.69,28.77,44451800
2010-02-22,22.09,28.84,28.94,28.65,28.73,36707100
2010-02-23,21.78,28.68,28.83,28.09,28.33,52266200
2010-02-24,22.01,28.52,28.79,28.38,28.63,43165900
2010-02-25,21.99,28.27,28.65,28.02,28.6,48735300
2010-02-26,22.04,28.65,28.85,28.51,28.67,40370600
2010-03-01,22.31,28.77,29.05,28.53,29.02,43805400
2010-03-02,21.88,29.08,29.3,28.24,28.46,93123900
2010-03-03,21.88,28.51,28.61,28.35,28.46,48442100
2010-03-04,22.01,28.46,28.65,28.27,28.63,42890600
2010-03-05,21.98,28.66,28.68,28.42,28.59,56001800
2010-03-08,22.01,28.52,28.93,28.5,28.63,39414500
2010-03-09,22.14,28.56,29.11,28.55,28.8,50271600
2010-03-10,22.27,28.86,29.11,28.8,28.97,44891400
2010-03-11,22.43,28.89,29.19,28.85,29.18,35349700
2010-03-12,22.5,29.32,29.38,29.04,29.27,31700200
2010-03-15,22.52,29.18,29.37,29.01,29.29,37512000
2010-03-16,22.58,29.42,29.49,29.2,29.37,36723500
2010-03-17,22.78,29.5,29.87,29.4,29.63,50385700
2010-03-18,22.76,29.63,29.72,29.5,29.61,43845200
2010-03-19,22.75,29.76,29.9,29.35,29.59,81332100
2010-03-22,22.76,29.5,29.7,29.39,29.6,37718200
2010-03-23,22.97,29.59,29.9,29.41,29.88,42026600
2010-03-24,22.79,29.72,29.85,29.6,29.65,33987700
2010-03-25,23.07,29.83,30.57,29.8,30.01,73168700
2010-03-26,22.8,30.09,30.2,29.59,29.66,55595500
2010-03-29,22.75,29.71,29.82,29.55,29.59,33336000
2010-03-30,22.89,29.63,29.86,29.5,29.77,34954800
2010-03-31,22.52,29.64,29.72,29.17,29.29,63760000
2010-04-01,22.42,29.35,29.54,28.62,29.16,74768100
2010-04-05,22.5,29.13,29.43,29.03,29.27,34331200
2010-04-06,22.54,29.15,29.58,28.98,29.32,47366800
2010-04-07,22.56,29.16,29.56,29.14,29.35,58318800
2010-04-08,23.0,29.32,29.98,29.3,29.92,63713800
2010-04-09,23.32,29.95,30.41,29.9,30.34,54752500
2010-04-12,23.31,30.25,30.49,30.21,30.32,37068800
2010-04-13,23.41,30.15,30.5,30.13,30.45,41374600
2010-04-14,23.69,30.79,31.0,30.66,30.82,68941200
2010-04-15,23.73,30.82,30.95,30.71,30.87,52745400
2010-04-16,23.58,30.79,30.98,30.6,30.67,88703100
2010-04-19,23.86,30.77,31.25,30.76,31.04,64970300
2010-04-20,24.11,31.22,31.44,31.13,31.36,52199500
